seed,fold,model_name,threshold,runtime,val_roc_auc,val_pr_auc,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_balanced_acc,val_mcc,val_brier,val_threshold,val_tp,val_fp,val_fn,val_tn,test_roc_auc,test_pr_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_balanced_acc,test_mcc,test_brier,test_threshold,test_tp,test_fp,test_fn,test_tn
2024,1,LogisticRegression,0.5,1.7594664096832275,0.7663574569274946,0.5246017543179218,0.7633481646273638,0.473583093179635,0.6193467336683417,0.8042857142857143,0.5367446924333152,0.711816223977028,0.3877965578329048,0.18736398443006577,0.5,493,548,303,2252,0.7792634236533201,0.5471920976279085,0.7602202569664609,0.46833998859098686,0.6191553544494721,0.8002999785729591,0.5332900292302696,0.7097276665112155,0.38273880502095575,0.1843262771758523,0.5,821,932,505,3735
2024,1,CatBoost,0.56,9.476912021636963,0.7844317569992821,0.5368836747737913,0.78559510567297,0.5140924464487034,0.5728643216080402,0.8460714285714286,0.5418894830659536,0.7094678750897344,0.4034750275123097,0.18084975071506565,0.56,456,431,340,2369,0.7954489191302108,0.5721319108129456,0.7855831803771066,0.5133550488599349,0.5942684766214178,0.8399400042854082,0.5508563439356868,0.7171042404534129,0.41291888151653555,0.17883037503521543,0.56,788,747,538,3920
2024,1,LightGBM,0.37,0.196061372756958,0.7763368180186647,0.5341338854199954,0.7833704115684094,0.5096481271282634,0.5640703517587939,0.8457142857142858,0.5354800238521169,0.7048923187365399,0.39556544954402023,0.1555436373928408,0.37,449,432,347,2368,0.7873572217369088,0.5584315041822976,0.7870849324211581,0.5164690382081687,0.5912518853695324,0.8427255196057425,0.5513361462728551,0.7169887024876375,0.41421457410301793,0.15447307045394085,0.37,784,734,542,3933
2024,1,MLP,0.58,11.5070960521698,0.779954459798995,0.5323202461703481,0.7958843159065628,0.5379901960784313,0.5515075376884422,0.8653571428571428,0.5446650124069479,0.7084323402727926,0.41320272092435434,0.1824020460499005,0.58,439,377,357,2423,0.7901293249577196,0.5760502185718749,0.7900884365092607,0.5243204577968527,0.552790346907994,0.8575101778444397,0.5381791483113069,0.7051502623762169,0.40271368804353097,0.18088543186130482,0.58,733,665,593,4002
2024,1,TabNet,0.57,23.135657787322998,0.7721886216798277,0.5234795818350876,0.7864293659621802,0.5166270783847982,0.5464824120603015,0.8546428571428571,0.5311355311355311,0.7005626346015793,0.3932579920420337,0.18981441772442373,0.57,435,407,361,2393,0.778853869843169,0.5358139641598487,0.7870849324211581,0.5172890733056709,0.5641025641025641,0.8504392543389758,0.5396825396825397,0.70727090922077,0.40217251503586526,0.18907315929332977,0.57,748,698,578,3969
2024,2,LogisticRegression,0.57,1.5315923690795898,0.7704253409906676,0.5559634183416653,0.7911568409343716,0.5274056029232643,0.5439698492462312,0.8614285714285714,0.5355596784168213,0.7026992103374012,0.4009724458990172,0.183143610633008,0.57,433,388,363,2412,0.786309138875342,0.5705180018242291,0.7999332554647088,0.5450035435861091,0.5799396681749623,0.8624383972573387,0.5619291194738765,0.7211890327161505,0.43280592572701915,0.18045130399738682,0.57,769,642,557,4025
2024,2,CatBoost,0.55,11.042335987091064,0.7897141959798994,0.574163148681965,0.792825361512792,0.52989449003517,0.5678391959798995,0.8567857142857143,0.5482110369921165,0.7123124551328068,0.41443230208065185,0.1761848995848492,0.55,452,401,344,2399,0.8076973978264643,0.5996633433739557,0.7999332554647088,0.5421926910299003,0.6153846153846154,0.8523676880222841,0.5764747439067467,0.7338761517034498,0.4477255959602132,0.1709908430920693,0.55,816,689,510,3978
2024,2,LightGBM,0.36,0.20632386207580566,0.7795625448671931,0.5648152141791207,0.7703003337041157,0.48493975903614456,0.6067839195979899,0.8167857142857143,0.5390625,0.7117848169418521,0.39295609007483195,0.1547024507548435,0.36,483,513,313,2287,0.8028456112216935,0.5813721826425388,0.7790755881862172,0.5005747126436781,0.6568627450980392,0.8137990143561175,0.5681669928245271,0.7353308797270783,0.4304049535068205,0.15181867285362724,0.36,871,869,455,3798
2024,2,MLP,0.57,6.357473373413086,0.7838114680545585,0.5659577906901174,0.7953281423804227,0.5369458128078818,0.5477386934673367,0.8657142857142858,0.5422885572139303,0.7067264895908112,0.4105339190085857,0.1800675406444212,0.57,436,376,360,2424,0.799200428799365,0.5849342131117756,0.8032704822292674,0.5517970401691332,0.5904977375565611,0.8637240197128776,0.5704918032786885,0.7271108786347193,0.44352623896774074,0.17669649195481021,0.57,783,636,543,4031
2024,2,TabNet,0.54,28.80762791633606,0.7718346195262025,0.5417526066304488,0.7819799777530589,0.5066815144766147,0.571608040201005,0.8417857142857142,0.5371900826446281,0.7066968772433596,0.3964973778952812,0.18957599252844,0.54,455,443,341,2357,0.79143385362584,0.5587262393045569,0.7879192391122977,0.517639512508018,0.6085972850678733,0.8388686522391258,0.5594454072790295,0.7237329686534995,0.4233794177976261,0.1856529517385584,0.54,807,752,519,3915
2024,3,LogisticRegression,0.6,1.6587841510772705,0.7689617731514716,0.5238747912930948,0.7986651835372637,0.547244094488189,0.5238693467336684,0.8767857142857143,0.5353016688061617,0.7003275305096913,0.40703220627182696,0.1855563185177905,0.6,417,345,379,2455,0.7666690582217625,0.5328037595176619,0.7942599699649591,0.5365278868813825,0.5150829562594268,0.8735804585386758,0.5255867641400539,0.6943317073990514,0.3944383409075088,0.18524828866666032,0.6,683,590,643,4077
2024,3,CatBoost,0.53,10.129483461380005,0.7878836145010769,0.559428894876321,0.7758620689655172,0.4949392712550607,0.614321608040201,0.8217857142857142,0.5482062780269058,0.7180536611629575,0.4055988008501952,0.17849141015412845,0.53,489,499,307,2301,0.7730394015165691,0.5444923300106994,0.7665609878191223,0.47778454047474134,0.5920060331825038,0.8161559888579387,0.5287975749410576,0.7040810110202212,0.379804271759795,0.18024683004159797,0.53,785,858,541,3809
2024,3,LightGBM,0.37,0.2833521366119385,0.7866470746590093,0.5499178594787447,0.7769744160177976,0.4969450101832994,0.6130653266331658,0.8235714285714286,0.5489313835770528,0.7183183776022972,0.4068621642813094,0.15396612580858615,0.37,488,494,308,2306,0.7658834000544886,0.5382026250749777,0.7627231770398799,0.47062423500611994,0.5799396681749623,0.8146560959931434,0.5195945945945946,0.6972978820840529,0.3678100746889763,0.15568301667241927,0.37,769,865,557,3802
