metric,n_pairs,left_mean,right_mean,mean_difference_left_minus_right,wilcoxon_statistic,wilcoxon_pvalue,ttest_statistic,ttest_pvalue,dataset,model,comparison,left_condition,right_condition
pr_auc,10,0.3478,0.3991,-0.0512,10.0,0.084,-1.9236,0.0866,german,lstm,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
balanced_accuracy,10,0.5033,0.5805,-0.0771,4.0,0.0273,-2.9563,0.0161,german,lstm,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
accuracy,10,0.318,0.519,-0.201,1.0,0.0078,-3.8299,0.004,german,lstm,smoteenn_vs_focal_loss,smoteenn,focal_loss
f1,10,0.4598,0.4154,0.0444,16.0,0.2754,1.5788,0.1488,german,lstm,smoteenn_vs_focal_loss,smoteenn,focal_loss
pr_auc,10,0.3478,0.3861,-0.0383,8.0,0.0488,-2.5012,0.0338,german,lstm,smoteenn_vs_focal_loss,smoteenn,focal_loss
balanced_accuracy,10,0.5033,0.546,-0.0426,9.0,0.0645,-2.4105,0.0392,german,lstm,smoteenn_vs_focal_loss,smoteenn,focal_loss
accuracy,10,0.772,0.621,0.151,0.0,0.002,9.3467,0.0,german,mlp,baseline_vs_smoteenn,baseline,smoteenn
f1,10,0.5627,0.5821,-0.0194,23.0,0.6953,-0.8044,0.4419,german,mlp,baseline_vs_smoteenn,baseline,smoteenn
pr_auc,10,0.6288,0.5961,0.0326,5.0,0.0195,2.8367,0.0195,german,mlp,baseline_vs_smoteenn,baseline,smoteenn
balanced_accuracy,10,0.6943,0.6921,0.0021,26.0,0.8984,0.1787,0.8621,german,mlp,baseline_vs_smoteenn,baseline,smoteenn
accuracy,10,0.772,0.718,0.054,0.0,0.002,5.861,0.0002,german,mlp,baseline_vs_weighted_bce,baseline,weighted_bce
f1,10,0.5627,0.6073,-0.0446,5.0,0.0195,-2.7565,0.0222,german,mlp,baseline_vs_weighted_bce,baseline,weighted_bce
pr_auc,10,0.6288,0.6454,-0.0167,18.0,0.375,-1.1422,0.2829,german,mlp,baseline_vs_weighted_bce,baseline,weighted_bce
balanced_accuracy,10,0.6943,0.7195,-0.0252,5.0,0.0195,-3.3365,0.0087,german,mlp,baseline_vs_weighted_bce,baseline,weighted_bce
accuracy,10,0.621,0.718,-0.097,0.0,0.002,-7.0146,0.0001,german,mlp,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
f1,10,0.5821,0.6073,-0.0252,11.0,0.1055,-1.9607,0.0815,german,mlp,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
pr_auc,10,0.5961,0.6454,-0.0493,7.0,0.0371,-2.6704,0.0256,german,mlp,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
balanced_accuracy,10,0.6921,0.7195,-0.0274,6.0,0.0273,-2.5899,0.0292,german,mlp,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
accuracy,10,0.621,0.73,-0.109,0.0,0.002,-4.7652,0.001,german,mlp,smoteenn_vs_focal_loss,smoteenn,focal_loss
f1,10,0.5821,0.6277,-0.0456,5.0,0.0195,-2.8198,0.0201,german,mlp,smoteenn_vs_focal_loss,smoteenn,focal_loss
pr_auc,10,0.5961,0.6315,-0.0354,13.0,0.1602,-1.9056,0.0891,german,mlp,smoteenn_vs_focal_loss,smoteenn,focal_loss
balanced_accuracy,10,0.6921,0.7386,-0.0464,5.0,0.0195,-3.0394,0.014,german,mlp,smoteenn_vs_focal_loss,smoteenn,focal_loss
